Команда (HEX);Размер параметра команды (DEC);Тип параметра команды;Значения параметра команды (DEC);Описание команды;Размер параметра ответа (DEC);Тип параметра ответа;Значения параметра ответа (DEC);Описание ответа;Комментарии
;2;moneysigned;;Скидка/Надбавка;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;40;string;;Текст;;;;;
b0;;;;Продолжение печати ;;;;Продолжение печати ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
c0;;;;Загрузка графики ;;;;Загрузка графики ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Номер линии ;1;number;;порядковый номер оператора;
;40;;;Графическая информация ;;;;;
c1;;;;Печать графики ;;;;Печать графики ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Начальная линия ;1;number;;порядковый номер оператора;
;1;number;;Конечная линия ;;;;;
c2;;;;Печать штрих-кода EAN-13 ;;;;Печать штрих-кода EAN-13 ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;number;;Штрих-код ;1;number;;порядковый номер оператора;
c3;;;;Печать расширенной графики ;;;;Печать расширенной графики ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;2;number;;Начальная линия ;1;number;;порядковый номер оператора;
;2;number;;Конечная линия ;;;;;
;1;bitfield;;Флаг;;;;;
;;;;Бит 0 – контрольная лента;;;;;
;;;;Бит 1 – чековая лента;;;;;
;;;;Бит 2 – подкладной документ;;;;;
;;;;Бит 3 – слип чек;;;;;
;;;;Бит 4;;;;;
;;;;Бит 5;;;;;
;;;;Бит 6;;;;;
;;;;Бит 7 – отложенная печать графики;;;;;
с4;;;;Загрузка расширенной графики ;;;;Загрузка расширенной графики ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;2;number;;Начальная линия ;1;number;;порядковый номер оператора;
;?;data;;Графическая информация ;;;;;
c5;;;;Печать графической линии (одномерный штрихкод) ;;;;Печать графической линии (одномерный штрихкод) ;
;4;number;;пароль оператора;1;error#;;код ошибки;
